word_1,word_2,cue,file_path
DRIZZLE,CARDINAL,y,resources/sound/trials/audio_stim_comp69.mp3
MINER,EMERALD,y,resources/sound/trials/audio_stim_comp6.mp3
RECEIPT,LIMOUSINE,y,resources/sound/trials/audio_stim_comp40.mp3
WHISTLE,TREASURER,y,resources/sound/trials/audio_stim_comp12.mp3
MARBLE,CUSTOMER,y,resources/sound/trials/audio_stim_comp65.mp3
ATHLETE,IVORY,y,resources/sound/trials/audio_stim_comp57.mp3
WORKER,VISITOR,y,resources/sound/trials/audio_stim_comp17.mp3
SACRED,GALAXY,y,resources/sound/trials/audio_stim_comp1.mp3
HARDWARE,OVERCOAT,y,resources/sound/trials/audio_stim_human35.mp3
DAYLIGHT,MATERIAL,y,resources/sound/trials/audio_stim_human42.mp3
CONCRETE,ENEMY,y,resources/sound/trials/audio_stim_human67.mp3
PAINTER,VEHICLE,y,resources/sound/trials/audio_stim_human47.mp3
RUBBER,PROPERTY,y,resources/sound/trials/audio_stim_human0.mp3
MINER,EMERALD,y,resources/sound/trials/audio_stim_human6.mp3
PARTY,SANCTUARY,y,resources/sound/trials/audio_stim_human50.mp3
ROBBER,RATTLESNAKE,y,resources/sound/trials/audio_stim_human64.mp3
